rank,team,elo_rating,rating_date,source,source_original
123,El Salvador,1342,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
124,Guadeloupe,1338,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
125,Rwanda,1337,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
126,Nicaragua,1333,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
127,Kuwait,1331,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
128,Zanzibar,1326,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
129,Azerbaijan,1321,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
130,Mauritania,1317,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
131,Tanzania,1313,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
132,Martinique,1312,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
133,Cyprus,1310,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
134,Latvia,1305,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
135,Namibia,1303,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
136,Kyrgyzstan,1293,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
136,Malaysia,1293,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
138,Guyana,1292,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
139,Ethiopia,1291,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
139,Liberia,1291,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
141,Tajikistan,1290,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
142,Lebanon,1288,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
143,Lithuania,1286,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
